Year,PhD Student,Parent,Research Scientist,Software team member,Professor,Manager/team leader,total
2007,1,0,0,0,0,0,1
2007.5,1,0,0,0,0,0,1
2008,1,0,0,0,0,0,1
2008.5,1,0,0,0,0,0,1
2009,1,0,0,0,0,0,1
2009.5,1,0,0,0,0,0,1
2010,1,0,0,0,0,0,1
2010.5,1,0,0,0,0,0,1
2011,1,0,0,0,0,0,1
2011.5,1,0,0,0,0,0,1
2012,1,0,0,0,0,0,1
2012.5,1,0,0,0,0,0,1
2013.2,1,0,0,0,0,0,1
2013.21,0.5,0.5,0,0,0,0,1
2013.5,0,0.1,0.9,0,0,0,1
2014,0,0.1,0.9,0,0,0,1
2014.5,0,0.1,0.9,0,0,0,1
2015,0,0.1,0.9,0,0,0,1
2015.5,0,0.1,0.9,0,0,0,1
2016,0,0.1,0.9,0,0,0,1
2016.5,0,0.1,0.9,0,0,0,1
2016.95,0,0.1,0.9,0,0,0,1
2016.96,0,1,0,0,0,0,1
2017,0,1,0,0,0,0,1
2017.2,0,0.2,0.16,0.64,0,0,1
2017.5,0,0.2,0.16,0.64,0,0,1
2018,0,0.2,0.16,0.64,0,0,1
2018.59,0,0.2,0.16,0.64,0,0,1
2018.6,0,0.2,0,0.04,0.72,0.04,1
2019,0,0.2,0,0.04,0.72,0.04,1
2019.59,0,0.2,0,0.04,0.72,0.04,1
2019.6,0,0.2,0.2666666667,0.2666666667,0,0.2666666667,1
2020,0,0.2,0.2666666667,0.2666666667,0,0.2666666667,1
2020.1,0,0.85,0.05,0.05,0,0.05,1
2020.5,0,0.85,0.05,0.05,0,0.05,1
2020.7,0,0.2,0.2666666667,0.2666666667,0,0.2666666667,1